r,real,imag
1.5,0,0
1.74372,3.47e+97,-7.07658e+96
1.98744,-7.77025e+99,2.45686e+99
2.23116,8.67447e+101,-3.7435e+101
2.47487,-5.21115e+103,2.85785e+103
2.71859,1.81841e+105,-1.20393e+105
2.96231,-3.98335e+106,3.04195e+106
3.20603,5.93454e+107,-4.98839e+107
3.44975,-6.53262e+108,5.7528e+108
3.69347,5.78457e+109,-5.08932e+109
3.93719,-4.49489e+110,3.81086e+110
4.1809,3.35383e+111,-2.70099e+111
4.42462,-2.5191e+112,1.92519e+112
4.66834,1.90692e+113,-1.38141e+113
4.91206,-1.45513e+114,9.97764e+113
5.15578,1.11945e+115,-7.25367e+114
5.3995,-8.68259e+115,5.30794e+115
5.64322,6.78909e+116,-3.9102e+116
5.88693,-5.35092e+117,2.90078e+117
6.13065,4.25015e+118,-2.16815e+118
6.37437,-3.40108e+119,1.6339e+119
6.61809,2.74107e+120,-1.24254e+120
6.86181,-2.22406e+121,9.54555e+120
7.10553,1.816e+122,-7.41671e+121
7.34925,-1.49151e+123,5.83524e+122
7.59296,1.23162e+124,-4.65387e+123
7.83668,-1.022e+125,3.76563e+124
8.0804,8.51791e+125,-3.09254e+125
8.32412,-7.12705e+126,2.57759e+126
8.56784,5.98365e+127,-2.179e+127
8.81156,-5.03844e+128,1.86612e+128
9.05528,4.25306e+129,-1.61646e+129
9.29899,-3.59749e+130,1.41353e+130
9.54271,3.04803e+131,-1.24525e+131
9.78643,-2.58592e+132,1.10282e+132
10.0302,2.19615e+133,-9.7986e+132
10.2739,-1.86664e+134,8.71767e+133
10.5176,1.58764e+135,-7.75245e+134
10.7613,-1.35116e+136,6.87959e+135
11.005,1.15067e+137,-6.0827e+136
11.2487,-9.80761e+137,5.35036e+137
11.4925,8.36915e+138,-4.67467e+138
11.7362,-7.15352e+139,4.05014e+139
11.9799,6.12878e+140,-3.47292e+140
12.2236,-5.26771e+141,2.94018e+141
12.4673,4.54703e+142,-2.44971e+142
12.7111,-3.94666e+143,1.99966e+143
12.9548,3.44916e+144,-1.58832e+144
13.1985,-3.03932e+145,1.21406e+145
13.4422,2.70379e+146,-8.75225e+145
13.6859,-2.43082e+147,5.70178e+146
13.9296,2.21005e+148,-2.97262e+147
14.1734,-2.03231e+149,5.48484e+147
14.4171,1.88953e+150,1.58637e+149
14.6608,-1.77464e+151,-3.44689e+150
14.9045,1.68146e+152,5.04704e+151
15.1482,-1.60469e+153,-6.39969e+152
15.392,1.53984e+154,7.51667e+153
15.6357,-1.48316e+155,-8.40895e+154
15.8794,1.43166e+156,9.08695e+155
16.1231,-1.38299e+157,-9.56086e+156
16.3668,1.33543e+158,9.84115e+157
16.6106,-1.28779e+159,-9.93898e+158
16.8543,1.23939e+160,9.86664e+159
17.098,-1.18994e+161,-9.63787e+160
17.3417,1.13951e+162,9.26814e+161
17.5854,-1.0884e+163,-8.7747e+162
17.8291,1.03709e+164,8.17649e+163
18.0729,-9.86178e+164,-7.49393e+164
18.3166,9.36288e+165,6.74847e+165
18.5603,-8.88033e+166,-5.96209e+166
18.804,8.41952e+167,5.15658e+167
19.0477,-7.98482e+168,-4.35291e+168
19.2915,7.57921e+169,3.57051e+169
19.5352,-7.20421e+170,-2.8266e+170
19.7789,6.85975e+171,2.13567e+171
20.0226,-6.54426e+172,-1.50907e+172
20.2663,6.25481e+173,9.54751e+172
20.5101,-5.98733e+174,-4.77249e+173
20.7538,5.7369e+175,7.7792e+173
20.9975,-5.49815e+176,2.45392e+175
21.2412,5.26557e+177,-4.96641e+176
21.4849,-5.03393e+178,6.82319e+177
21.7286,4.79867e+179,-8.10229e+178
21.9724,-4.55616e+180,8.89006e+179
22.2161,4.30393e+181,-9.27546e+180
22.4598,-4.0409e+182,9.34503e+181
22.7035,3.76729e+183,-9.17874e+182
22.9472,-3.48468e+184,8.847e+183
23.191,3.19573e+185,-8.40881e+184
23.4347,-2.904e+186,7.91102e+185
23.6784,2.61362e+187,-7.38856e+186
23.9221,-2.32895e+188,6.86549e+187
24.1658,2.05425e+189,-6.35663e+188
24.4095,-1.7934e+190,5.86949e+189
24.6533,1.54963e+191,-5.40629e+190
24.897,-1.32541e+192,4.96597e+191
25.1407,1.1223e+193,-4.5458e+192
25.3844,-9.41018e+193,4.14279e+193
25.6281,7.81471e+194,-3.75461e+194
25.8719,-6.42884e+195,3.38005e+195
26.1156,5.23958e+196,-3.01926e+196
26.3593,-4.23033e+197,2.67356e+197
26.603,3.38249e+198,-2.34513e+198
26.8467,-2.67685e+199,2.03656e+199
27.0905,2.09467e+200,-1.75041e+200
27.3342,-1.61843e+201,1.48882e+201
27.5779,1.23229e+202,-1.25322e+202
27.8216,-9.22239e+202,1.04421e+203
28.0653,6.76081e+203,-8.61472e+203
28.309,-4.83256e+204,7.03933e+204
28.5528,3.34648e+205,-5.69868e+205
28.7965,-2.22358e+206,4.57127e+206
29.0402,1.39533e+207,-3.63333e+207
29.2839,-8.0226e+207,2.86059e+208
29.5276,3.93051e+208,-2.22972e+209
29.7714,-1.2397e+209,1.7192e+210
30.0151,-4.15636e+209,-1.30984e+211
30.2588,1.33379e+211,9.84908e+211
30.5025,-1.75057e+212,-7.29944e+212
30.7462,1.84567e+213,5.32566e+213
30.9899,-1.75035e+214,-3.82153e+214
31.2337,1.55594e+215,2.69589e+215
31.4774,-1.32237e+216,-1.87064e+216
31.7211,1.0863e+217,1.27921e+217
31.9648,-8.68004e+217,-8.65605e+217
32.2085,6.7698e+218,5.83593e+218
32.4523,-5.16115e+219,-3.95999e+219
32.696,3.84552e+220,2.73864e+220
32.9397,-2.79512e+221,-1.95476e+221
33.1834,1.97343e+222,1.45302e+222
33.4271,-1.34026e+223,-1.12882e+223
33.6709,8.53384e+223,9.18143e+223
33.9146,-4.67483e+224,-7.89494e+224
34.1583,1.30628e+225,7.39278e+225
34.402,2.22434e+226,-7.92107e+226
34.6457,-6.81573e+227,1.00794e+228
34.8894,1.37926e+229,-1.49874e+229
35.1332,-2.51811e+230,2.45834e+230
35.3769,4.41137e+231,-4.21081e+231
35.6206,-7.5403e+232,7.28409e+232
35.8643,1.26322e+234,-1.25169e+234
36.108,-2.07612e+235,2.12072e+235
36.3518,3.34722e+236,-3.53091e+236
36.5955,-5.29207e+237,5.76792e+237
36.8392,8.2016e+238,-9.23644e+238
37.0829,-1.24542e+240,1.44905e+240
37.3266,1.85215e+241,-2.22609e+241
37.5704,-2.69638e+242,3.34715e+242
37.8141,3.84073e+243,-4.9235e+243
38.0578,-5.34997e+244,7.08146e+244
38.3015,7.2838e+245,-9.95401e+245
38.5452,-9.687e+246,1.36666e+247
38.7889,1.25773e+248,-1.83173e+248
39.0327,-1.59323e+249,2.39518e+249
39.2764,1.96779e+250,-3.05358e+250
39.5201,-2.36802e+251,3.793e+251
39.7638,2.77451e+252,-4.58717e+252
40.0075,-3.16258e+253,5.39719e+253
40.2513,3.5043e+254,-6.17304e+254
40.495,-3.7713e+255,6.85753e+255
40.7387,3.93833e+256,-7.39229e+256
40.9824,-3.987e+257,7.7252e+257
41.2261,3.90881e+258,-7.81828e+258
41.4698,-3.70706e+259,7.65424e+259
41.7136,3.39698e+260,-7.24047e+260
41.9573,-3.00393e+261,6.60924e+261
42.201,2.55997e+262,-5.8138e+262
42.4447,-2.09942e+263,4.92094e+263
42.6884,1.65425e+264,-4.00147e+264
42.9322,-1.25029e+265,3.12043e+265
43.1759,9.04747e+265,-2.32921e+266
43.4196,-6.25571e+266,1.66072e+267
43.6633,4.12387e+267,-1.12845e+268
43.907,-2.58556e+268,7.2889e+268
44.1508,1.53765e+269,-4.46288e+269
44.3945,-8.64776e+269,2.58208e+270
44.6382,4.58373e+270,-1.40662e+271
44.8819,-2.281e+271,7.18586e+271
45.1256,1.06094e+272,-3.42648e+272
45.3693,-4.58845e+272,1.51681e+273
45.6131,1.83393e+273,-6.19353e+273
45.8568,-6.72398e+273,2.31485e+274
46.1005,2.24088e+274,-7.84439e+274
46.3442,-6.70976e+274,2.38134e+275
46.5879,1.77748e+275,-6.37413e+275
46.8317,-4.07755e+275,1.47156e+276
47.0754,7.84261e+275,-2.83434e+276
47.3191,-1.19698e+276,4.30251e+276
47.5628,1.28877e+276,-4.54901e+276
47.8065,-6.27964e+275,2.04723e+276
48.0503,1.12355e+275,-3.27784e+275
48.294,-8.78601e+273,2.29146e+274
48.5377,3.38122e+272,-7.92786e+272
48.7814,-6.78411e+270,1.43914e+271
49.0251,7.21697e+268,-1.39313e+269
49.2688,-4.02387e+266,7.1028e+266
49.5126,1.13829e+264,-1.84472e+264
49.7563,-1.55669e+261,2.32367e+261
50,0,-0
